Date_&_Time,Vehicle_Details
17-12-2022 01:22:10,Lwiiza0v2366
17-12-2022 01:22:10,Wi2an2366
17-12-2022 01:22:11,66
17-12-2022 01:22:12,mi2002366
17-12-2022 01:22:47,Lwiiza0v2366
17-12-2022 01:22:47,Wi2an2366
17-12-2022 01:22:48,66
17-12-2022 01:22:48,mi2002366
17-12-2022 01:23:39,Lwiiza0v2366
17-12-2022 01:23:39,Wi2an2366
17-12-2022 01:23:40,66
17-12-2022 01:23:40,mi2002366
17-12-2022 01:23:43,Nienaremi
17-12-2022 01:23:43,iietsHH2002366
17-12-2022 01:23:44,aewiiz002366
17-12-2022 01:23:44,mi2002368
17-12-2022 01:23:44,aoctetuzo02366
17-12-2022 01:23:45,2002366
17-12-2022 01:24:30,Lwiiza0v2366
17-12-2022 01:24:30,Wi2an2366
17-12-2022 01:24:30,66
17-12-2022 01:24:31,mi2002366
17-12-2022 01:24:34,Nienaremi
17-12-2022 01:25:34,Lwiiza0v2366
17-12-2022 01:26:02,Lwiiza0v2366
17-12-2022 01:26:02,Wi2an2366
17-12-2022 01:26:02,66
17-12-2022 01:27:18,Lwiiza0v2366
17-12-2022 01:27:18,Wi2an2366
17-12-2022 01:27:18,66
17-12-2022 01:27:19,mi2002366
17-12-2022 01:27:22,Nienaremi
17-12-2022 01:27:22,iietsHH2002366
17-12-2022 01:27:23,aewiiz002366
17-12-2022 01:27:23,mi2002368
17-12-2022 01:27:23,aoctetuzo02366
17-12-2022 01:27:23,2002366
17-12-2022 01:27:24,2366
17-12-2022 01:27:24,AiIZ0D2368
17-12-2022 01:27:24,Mi2002366
17-12-2022 01:27:25,nizoov23éel
17-12-2022 01:27:26,eamizon2366
17-12-2022 01:27:27,nizonv2a6s
17-12-2022 01:27:27,lhNimadil
17-12-2022 01:27:27,mit20D2366
17-12-2022 01:27:28,Wa20RTOR
17-12-2022 01:27:28,NH2070
17-12-2022 01:27:37,TheaTse
17-12-2022 01:27:37,nena
17-12-2022 01:27:45,ONO
17-12-2022 01:27:46,a13anes
17-12-2022 01:27:46,aTaNe
17-12-2022 01:27:46,mH13BN6454A
17-12-2022 01:27:46,IH13BN8454q
17-12-2022 01:27:46,mMIlODNGS
17-12-2022 01:27:47,AH13BN84541
17-12-2022 01:27:47,ITODING
17-12-2022 01:27:47,NH13BN8454q
17-12-2022 01:27:47,NATOONG
17-12-2022 01:27:47,AH13BN8454x
17-12-2022 01:27:47,TTTIDINGS
17-12-2022 01:27:48,JFTSBNde4i
17-12-2022 01:27:48,Nth
17-12-2022 01:27:48,454
17-12-2022 01:27:48,AH13BN6454
17-12-2022 01:27:48,FTOBNG
17-12-2022 01:27:49,aSENasea
17-12-2022 01:27:49,AH13BN8a54I
17-12-2022 01:27:49,TTOGNGS
17-12-2022 01:27:49,ASBNGSO49
17-12-2022 01:27:50,rTTSBNEdoi
17-12-2022 01:27:50,HISBNB4O4I
17-12-2022 01:27:50,HISBNDAL
17-12-2022 01:27:50,TATSBNGASa
17-12-2022 01:27:51,ITTSBNB454
17-12-2022 01:27:51,KCNTT
17-12-2022 01:27:51,8454
17-12-2022 01:27:51,AH13BNe454
17-12-2022 01:27:52,TTSEN6464
17-12-2022 01:27:52,aTry
17-12-2022 01:27:52,MH13BNaoa
17-12-2022 01:27:53,INTODING
17-12-2022 01:27:53,WTSBNesse
17-12-2022 01:27:53,JH13BN8454a
17-12-2022 01:27:53,W713BN8456
17-12-2022 01:27:53,FIODING
17-12-2022 01:27:54,Fr13BN8454
17-12-2022 01:27:54,VIH413BN8450
17-12-2022 01:27:54,8454
17-12-2022 01:27:54,MTSENGto
17-12-2022 01:27:55,pea
17-12-2022 01:27:55,TSENGsee
17-12-2022 01:27:55,METISEN8454I
17-12-2022 01:27:55,MH13BNG4o4y
17-12-2022 01:27:55,ITTOOING
17-12-2022 01:27:56,MHT3EN6454
17-12-2022 01:27:56,INNOCIND
17-12-2022 01:27:56,FFSBNGs64
17-12-2022 01:27:56,MH13BNe4y
17-12-2022 01:27:56,ITOOING
17-12-2022 01:27:57,iaTENG04
17-12-2022 01:27:57,VIH13BNBanal
17-12-2022 01:27:57,MH43BNe4e4y
17-12-2022 01:27:57,MAOGNE
17-12-2022 01:27:58,oiSBNGdOS
17-12-2022 01:27:58,MH13BNaasay
17-12-2022 01:27:58,ATTOOING
17-12-2022 01:27:58,WTSENG404
17-12-2022 01:27:59,AR13BNey
17-12-2022 01:27:59,ANODNEYea
17-12-2022 01:27:59,JH13BN6454
17-12-2022 01:27:59,ITIOONDE
17-12-2022 01:28:00,454
17-12-2022 01:28:01,7AaaNet
17-12-2022 01:28:01,iSEN6404
17-12-2022 01:28:02,454
17-12-2022 01:28:02,MATTSBNOsos
17-12-2022 01:28:02,MTTSBNeto4I
17-12-2022 01:28:02,MH13BN84547
17-12-2022 01:28:03,fFTaNGso
17-12-2022 01:28:03,WTSBNG454
17-12-2022 01:28:03,MH13BNzy
17-12-2022 01:28:04,MTSBNded
17-12-2022 01:28:04,MH13BN8404
17-12-2022 01:28:04,ATTSONOS
17-12-2022 01:28:04,MHA13BNes64
17-12-2022 01:28:04,ATIATOON
17-12-2022 01:28:05,MH13BNesay
17-12-2022 01:28:05,AMToGNes
17-12-2022 01:28:05,Mir13BN8454
17-12-2022 01:28:05,MH13BN8454
17-12-2022 01:28:06,MFTBNB464
17-12-2022 01:28:06,WTSENG454
17-12-2022 01:28:06,VIH13BNBanal
17-12-2022 01:28:07,7SBNGS4
17-12-2022 01:28:07,MH13BN8454
17-12-2022 01:28:07,MITOONG
17-12-2022 01:28:07,AHIBNG454
17-12-2022 01:28:07,HONGS
17-12-2022 01:28:08,TFTSBNE404z
17-12-2022 01:28:08,MHT3BN8464
17-12-2022 01:28:08,visBNB654
17-12-2022 01:28:08,ananenlIH13BN84547
17-12-2022 01:28:09,iFTENGse
17-12-2022 01:28:09,MH13BN8454J
17-12-2022 01:28:09,MH13BN8454
17-12-2022 01:28:09,MATOGNG
17-12-2022 01:28:09,MFT3BN84547
17-12-2022 01:28:10,uF3BN84547
17-12-2022 01:28:10,MH13BN8454J
17-12-2022 01:28:11,FTBNE
17-12-2022 01:28:11,MHTSBN3404
17-12-2022 01:28:11,MH13BN64549
17-12-2022 01:28:12,aATENG4SI
17-12-2022 01:28:12,aTSBNGS4
17-12-2022 01:28:12,mABNGeI
17-12-2022 01:28:13,VIH13BNRa7
17-12-2022 01:28:13,MH13BN845d
17-12-2022 01:28:13,WTaNeal
17-12-2022 01:28:14,IH13BN8454
17-12-2022 01:28:14,MH1SBN84a
17-12-2022 01:28:14,MATOBNO
17-12-2022 01:28:15,iFSENGS4
17-12-2022 01:28:15,THTSENGSO4
17-12-2022 01:28:15,FTTeNeso4I
17-12-2022 01:28:16,454
17-12-2022 01:28:17,MR13BNea5ayy
17-12-2022 01:28:17,MHA3eNee4
17-12-2022 01:28:17,MH13BN8454J
17-12-2022 01:28:18,FTSENGS4
17-12-2022 01:28:18,IHTSENGSE
17-12-2022 01:28:18,AH13BN4549
17-12-2022 01:28:19,ALTOBING
17-12-2022 01:28:19,FSBN6454J
17-12-2022 01:28:20,VFTaBNGdo4
17-12-2022 01:28:20,MH13BNaasa
17-12-2022 01:28:20,frENGI
17-12-2022 01:28:21,IH12N64
17-12-2022 01:28:21,WATZNOS
17-12-2022 01:28:21,4H13BNassay
17-12-2022 01:28:21,AH13BN6454
17-12-2022 01:28:22,MH13BN8454I
17-12-2022 01:28:22,ATTEN404I
17-12-2022 01:28:22,JHTSBNE4o4
17-12-2022 01:28:23,TTSBNEz
17-12-2022 01:28:23,FTiyBN8454
17-12-2022 01:28:23,MH13BNry
17-12-2022 01:28:24,13BN8454a
17-12-2022 01:28:24,454
17-12-2022 01:28:25,artSBNG04
17-12-2022 01:28:25,MHTBNOS4
17-12-2022 01:28:25,iA3BN3454
17-12-2022 01:28:26,TTSBN3404
17-12-2022 01:28:26,carrEy
17-12-2022 01:28:26,MH13BNe4S49
17-12-2022 01:28:26,InGOINGS
17-12-2022 01:28:27,nFSaNatoel
17-12-2022 01:28:27,MTTSENGAET
17-12-2022 01:28:27,MH13BNaa5aQ
17-12-2022 01:28:28,AMTOGNG
17-12-2022 01:28:28,MA3BN8454
17-12-2022 01:28:28,ht3BN8454
17-12-2022 01:28:28,brKjBN8454
17-12-2022 01:28:29,aTFBN8454nN
17-12-2022 01:28:29,NETSBNedSaI
17-12-2022 01:28:30,FTBBNGSa
17-12-2022 01:28:30,FT13BNBa5eN
17-12-2022 01:28:30,HISBNGdea
17-12-2022 01:28:30,VODNLGE
17-12-2022 01:28:31,TF3BN8454
17-12-2022 01:28:31,vASBNEO4
17-12-2022 01:28:56,mitaTCav
17-12-2022 01:28:56,psaTomens
